CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
719,3,3301,"10-11(A,C,E,G)",114
981,22,3301,"5(A,C,E,G)",114
983,22,3302,"5(A,C,E,G)",114
984,32,3302,"7(B,D,F,H)",114
1175,11,3302,12-13(E),114
223,1,3300,"2-3(A,C,E,G)",114
408,3,3300,"8-9(A,C,E,G)",114
644,2,3302,"6-7(A,C,E,G)",114
727,1,3301,"4-5(B,D,F,H)",114
982,32,3301,"7(B,D,F,H)",114
Senior HR,6,3300,1(A-H),114
729,2,3300,"12-13(A,C,E,G)",118
252,4,3300,"10-11(B,D,F,H)",118
545,1,3300,"2-3(A,C,E,G)",118
714,1,3301,"8-9(A,C,E,G)",118
850,1,3300,"10-11(A,C,E,G)",118
983,31,3302,"6(A,C,E,G)",118
110,10,3300,"8-9(B,D,F,H)",118
416,1,3300,"14(B,D,F,H)",118
710,2,3302,"8-9(A,C,E,G)",118
806,1,3300,"14(A,C,E,G)",118
981,31,3301,"6(A,C,E,G)",118
340,6,3300,"2-3(B,D,F,H)",118
982,32,3301,"7(B,D,F,H)",118
984,32,3302,"7(B,D,F,H)",118
1175,12,3302,12-13(F),118
1176,12,3301,12-13(F),118
Senior HR,6,3300,1(A-H),118
650,3,3300,"10-11(B,D,F,H)",119
982,32,3301,"7(B,D,F,H)",119
984,32,3302,"7(B,D,F,H)",119
110,10,3300,"8-9(B,D,F,H)",119
1176,3,3301,4-5(E),119
252,3,3300,"4-5(B,D,F,H)",119
545,1,3300,"2-3(A,C,E,G)",119
710,3,3301,"10-11(A,C,E,G)",119
729,3,3300,"2-3(B,D,F,H)",119
981,42,3301,"9(A,C,E,G)",119
983,41,3302,"8(A,C,E,G)",119
1175,3,3302,4-5(E),119
340,2,3300,"6-7(A,C,E,G)",119
742,3,3302,"10-11(A,C,E,G)",119
Senior HR,6,3300,1(A-H),119
225,3,3300,"10-11(A,C,E,G)",121
340,1,3300,"2-3(A,C,E,G)",121
982,22,3301,"5(B,D,F,H)",121
984,22,3302,"5(B,D,F,H)",121
558,2,3302,"8-9(A,C,E,G)",121
729,4,3300,"10-11(B,D,F,H)",121
110,3,3300,"6-7(A,C,E,G)",121
414,1,3300,"6-7(B,D,F,H)",121
676,1,3300,"2-3(B,D,F,H)",121
1175,8,3302,8-9(F),121
983,22,3302,"5(A,C,E,G)",121
1030,1,3301,"4-5(A,C,E,G)",121
981,41,3301,"8(A,C,E,G)",121
1176,8,3301,8-9(F),121
Senior HR,6,3300,1(A-H),121
716,1,3301,"2-4(B,D,F,H)",125
852,2,3300,"10-11(B,D,F,H)",125
982,22,3301,"5(B,D,F,H)",125
983,32,3302,"7(A,C,E,G)",125
110,9,3300,"6-7(B,D,F,H)",125
1175,2,3302,2-3(D),125
1176,8,3301,8-9(F),125
225,4,3300,"12-13(A,C,E,G)",125
340,3,3300,"8-9(A,C,E,G)",125
412,1,3300,"2-3(A,C,E,G)",125
527,2,3300,"10-11(A,C,E,G)",125
644,1,3301,"6-7(A,C,E,G)",125
645,2,3302,"4-5(B,D,F,H)",125
717,3,3302,"4-6(A,C,E,G)",125
981,22,3301,"5(A,C,E,G)",125
984,41,3302,"8(B,D,F,H)",125
Senior HR,6,3300,1(A-H),125
1092,3,3301,"4-5(A,C,E,G)",132
1094,1,3301,"4-5(B,D,F,H)",132
1176,10,3301,10-11(D),132
340,8,3300,"12-13(B,D,F,H)",132
412,1,3300,"2-3(A,C,E,G)",132
982,42,3301,"9(B,D,F,H)",132
983,31,3302,"6(A,C,E,G)",132
1031,1,3302,"4-5(A,C,E,G)",132
110,9,3300,"6-7(B,D,F,H)",132
225,3,3300,"10-11(A,C,E,G)",132
540,3,3300,"8-9(A,C,E,G)",132
981,31,3301,"6(A,C,E,G)",132
1175,10,3302,10-11(D),132
984,42,3302,"9(B,D,F,H)",132
727,2,3302,"4-5(B,D,F,H)",132
Senior HR,6,3300,1(A-H),132
981,52,3301,"11(A,C,E,G)",137
982,52,3301,"11(B,D,F,H)",137
983,52,3302,"11(A,C,E,G)",137
984,52,3302,"11(B,D,F,H)",137
1175,3,3302,4-5(E),137
1176,3,3301,4-5(E),137
110,7,3300,"2-3(B,D,F,H)",137
225,5,3300,"4-5(B,D,F,H)",137
412,5,3300,"12-13(B,D,F,H)",137
746,1,3301,"6-7(B,D,F,H)",137
780,1,3300,"12-13(A,C,E,G)",137
340,2,3300,"6-7(A,C,E,G)",137
742,2,3302,"6-7(B,D,F,H)",137
514,1,3300,"2-3(A,C,E,G)",137
